,VAE_0,VAE_1,VAE_2,VAE_3,VAE_4,VAE_5,VAE_6,VAE_7,VAE_8,VAE_9,cell_type,cluster
Cell_16,0.43053946,1.4782592,-1.785347,-0.63627,1.4984579,-0.4106217,0.21684402,0.98955625,-0.4529293,-0.36546564,Immune,1
Cell_17,-1.0779241,-0.95510036,-1.9766092,0.2133461,0.016615018,-1.2208493,-0.707574,-0.44501802,1.8684361,-1.2086143,Immune,1
Cell_18,-0.8484757,1.2702538,-1.5815145,0.14360897,-0.47243512,0.21601552,-1.15886,-1.494361,-0.06072861,-0.5791599,Immune,1
Cell_19,0.38044596,0.059109673,-1.9931569,1.0826741,0.43538982,-0.6189078,0.5791205,-0.69556254,-0.18502516,-0.87877345,Immune,1
Cell_20,-0.87900734,-1.3036101,-1.769552,-0.73293746,0.8511829,-0.4409651,-1.0640181,1.2543894,-1.271294,-0.83638847,Immune,1
Cell_21,-0.49497792,-1.2078122,-1.7742696,-0.18136844,1.6565115,0.17308187,-1.2119963,-0.6801966,-1.3614306,-0.45490226,Immune,1
Cell_22,-1.3697865,-0.9140209,-1.766599,1.136942,-1.4667546,-1.0797898,-0.4990806,0.9848168,0.8665629,-1.0341114,Immune,1
Cell_23,-0.6262895,1.029414,-1.8557526,0.2534434,1.0974979,-1.572243,0.21316019,-0.1687621,0.17870826,-0.3916877,Immune,1
Cell_24,-0.33392394,0.64849305,-1.5315056,-0.70830613,-0.53523815,-0.061882973,-0.6034859,0.6007937,1.4561763,-0.9528158,Immune,1
Cell_25,-0.5820942,-0.67509097,-1.7326456,0.20900913,-0.99178666,0.040828034,-0.18371826,-0.18935594,-0.29445106,-1.1230066,Immune,1
Cell_26,0.21137047,0.9729107,-1.2812555,1.1247922,0.37754327,0.63013077,-0.18966639,0.38592482,-0.29383639,-0.3514564,Immune,1
Cell_27,-1.1189127,-0.4903326,-1.483133,-1.1534239,-1.2428457,1.1672211,0.5555123,-1.0997585,1.372326,-0.85428023,Immune,1
Cell_28,-0.5556849,-2.2748394,-1.7359818,1.2679052,-0.42683923,-0.45897898,0.23634796,0.710135,-0.21731907,-0.42942107,Immune,1
Cell_29,-0.7909958,-0.35901096,-1.4401755,-0.7558702,-0.37016153,-0.93024796,0.3284775,-0.5441273,-0.50176084,-0.35864288,Immune,1
Cell_30,1.7424045,1.1894051,-1.8046563,-0.963157,0.11244474,-1.5961745,0.24689688,-0.46639377,-1.3319246,-0.6381873,Immune,1
Cell_31,-1.2155427,-0.5303828,-1.630292,0.48138303,-1.4688828,0.16233829,1.2088721,0.4118459,1.37142,-0.20611861,Immune,1
Cell_32,-0.29712725,-1.2422855,-1.8123423,-0.30139777,1.6957096,1.3440505,1.265025,-0.23156878,-0.8553232,-0.123778254,Immune,1
Cell_33,-0.2548488,0.016937014,-1.5839679,-0.23341882,0.18168329,0.5597951,-0.90360063,0.050255302,0.020529702,-0.106744766,Immune,1
Cell_34,-0.114101104,1.3224431,-1.2171197,-0.388757,-0.14538379,-0.12588531,0.6918476,0.85607284,-0.133562,-0.09293187,Immune,1
Cell_35,-0.4126116,-0.40596125,-1.6908735,-0.50295764,0.48087806,0.20528905,1.4196252,0.285041,0.26697272,-0.74036497,Immune,1
Cell_36,0.5575907,-0.5381331,-1.87172,-0.25795007,-0.2741789,-0.14392929,-1.9979886,0.9877849,-0.3156861,-0.26935792,Immune,1
Cell_37,-0.9984225,0.18349192,-1.478522,0.09276873,-0.48376814,-1.622002,-0.7991338,-0.009015745,-0.9395553,-0.6503893,Immune,1
Cell_38,0.44352582,-1.6381953,-1.6098698,0.23484072,-0.724199,0.13586141,2.6415386,-0.5739484,-0.1536547,-0.42067397,Immune,1
Cell_39,-1.1623708,0.21352763,-1.6086907,-1.5045365,-0.38357252,-0.69331986,0.29340312,-1.066757,-1.4434345,-0.1890864,Immune,1
Cell_40,1.3093545,-0.6384472,-1.7062793,-0.07519349,0.14667994,0.7117002,0.0395436,1.289679,0.22986686,-0.5841772,Immune,1
Cell_41,-0.12521441,1.092009,-1.6892908,-0.61550564,0.7409875,-0.11456415,0.5057591,-1.0592784,-0.53273445,-0.6728706,Immune,1
Cell_42,-0.45774278,0.0073487535,-1.2691095,0.19600594,0.25560367,0.25220504,-0.20278214,0.33895203,0.9174879,-0.0852966,Immune,1
Cell_43,0.074778855,-0.21549347,-1.801031,0.18547541,-0.82289535,1.1265763,0.55925906,0.62919134,-0.48568973,-0.98606396,Immune,1
Cell_44,0.011836961,-1.8415074,-1.4706086,1.2450209,-0.30164373,0.37343717,0.76824695,0.1856665,0.017224267,-0.4997674,Immune,1
Cell_45,-0.014113143,0.8808684,-1.4858663,-0.56753963,-1.9095086,0.6742403,-1.4609935,-0.9168743,0.44400856,-0.6092608,Immune,1
Cell_46,0.7498044,-1.044476,-1.5434226,0.3527822,-0.7188085,0.27174103,-0.17998278,1.0187557,-1.5949732,-0.16564152,Immune,1
Cell_47,-1.0046573,-0.8743816,-1.590811,-0.2712625,0.5787808,-0.48418033,-0.00042847544,0.18864799,-1.2410196,-0.22552195,Immune,1
Cell_48,0.23598197,-0.633418,-1.7061411,-0.40663245,1.094914,-0.45862553,-0.18625945,-1.3910834,1.7262306,0.47240907,Immune,1
Cell_49,-1.6501343,-0.14049749,-1.478981,0.6247731,1.1184487,-0.8523546,-0.3603164,0.3803429,0.49501172,-0.69917804,Immune,1
Cell_50,0.37991816,-1.0627382,-1.5797983,-1.4780608,0.60646313,0.18021771,0.73959166,-0.20580366,-0.9898122,-0.5530754,Immune,1
Cell_51,-0.053864345,-0.18892016,-1.4397757,0.14139205,-0.24442413,0.8135403,0.49744955,0.26034573,-0.04243301,-0.6562066,Immune,1
Cell_52,-0.33434483,-0.8488412,-1.7970471,-0.5245985,0.25349322,0.62434906,0.11782955,0.18567666,1.0370222,-0.4039415,Immune,1
Cell_53,0.6308905,0.24206915,-1.8488138,-1.8928671,-0.76150537,-0.2080791,2.1608095,1.0036603,-0.5773664,-0.76819885,Immune,1
Cell_54,-1.777523,-0.36307883,-1.506387,0.41293654,1.0257239,1.3268749,0.0036078691,-0.121512696,0.47936416,0.30787134,Immune,1
Cell_55,0.19181108,0.25758368,-1.8327658,-0.07078814,-0.06007354,0.7338791,-0.22108729,-0.9992398,-1.2188367,-0.70730996,Immune,1
Cell_56,0.5936621,-1.6280766,-1.7285422,0.51507634,-0.23749918,-0.015019927,0.025669571,-0.3110237,-0.96225184,-0.7457616,Immune,1
Cell_57,1.5903656,0.42668745,-1.5862907,0.02482345,0.56494224,-0.34634167,-0.2985364,-0.065108344,-1.7007887,-0.594003,Immune,1
Cell_58,-1.6045337,-0.95764774,-1.9041228,0.029192194,0.5347401,-0.48065585,-0.17029792,-0.23689635,0.2314424,-0.35113207,Immune,1
Cell_59,-0.47050598,-0.88854676,-1.9945939,0.2944762,0.21435161,-0.4514612,-0.06650039,0.10745297,-0.1773488,-0.580007,Immune,1
Cell_60,-1.4746449,0.94992745,-1.6397482,-0.22890845,0.6264339,-0.63012564,-0.02699228,0.20364004,-0.40980208,-0.40030098,Immune,1
Cell_61,-0.099403605,-0.77597964,-2.155271,-0.8976641,0.10603246,-0.2628869,0.12824856,-0.25943246,0.3130143,-0.75098014,Immune,1
Cell_62,0.5389893,0.8556459,-1.7535205,-0.17685351,-0.18818277,-0.97392887,-0.039604805,-1.0107995,1.2293646,-0.031544685,Immune,1
Cell_63,-0.63802755,-1.4034595,-1.728902,-0.49766514,-0.55901563,0.0464288,1.2429012,-0.6543219,-0.5412569,0.09778631,Immune,1
Cell_64,0.07429981,1.3364682,-1.4872781,0.7699044,-1.0605189,0.5476578,-1.5689867,0.36643595,-2.453325,-0.26107734,Immune,1
Cell_65,1.1463017,0.2863842,-1.7954842,-0.20352641,0.623213,1.2507342,0.09403983,0.3847914,-0.18726662,-0.79970753,Immune,1
Cell_66,-0.3724109,-0.77363586,-1.7697141,0.16983756,-1.0496619,-0.73430336,-1.0911226,0.591571,1.2193594,-0.52456737,Immune,1
Cell_67,-0.75737447,1.9274879,-1.0442727,-1.3695548,0.43163726,-1.0951172,-1.3154013,0.25278834,0.66529715,-0.14939114,Immune,1
Cell_68,0.16915977,0.82844174,-1.6842221,-0.4027027,1.2671454,2.0504239,-0.8799528,1.8665998,0.24774732,-0.15380946,Immune,1
Cell_69,-0.5110539,0.025864793,-1.7555015,0.32624435,0.12178908,0.23979345,0.088288404,0.112443484,-0.25184646,-0.2875083,Immune,1
Cell_70,0.2819493,0.37536487,-1.8141562,-0.13931152,1.9714929,0.733707,-0.7813045,1.1206197,-0.28965488,-0.06286225,Immune,1
Cell_71,-1.2319579,1.0528725,-1.2962623,0.41954193,0.6461203,-0.639853,-1.3298874,-1.6681887,-0.3691473,-0.20563337,Immune,1
Cell_72,0.54555845,1.3251824,-1.4263624,0.5182227,-0.3640015,0.82365835,-0.17255583,0.08053765,-0.5013956,-0.50666887,Immune,1
Cell_73,-0.6895598,0.72453785,-1.7704527,-0.3717455,-0.5443374,-1.8540385,-0.13707589,0.79272735,-0.1461952,-0.37526184,Immune,1
Cell_74,-0.20455085,-1.5666395,-1.8856052,-0.3845758,1.252594,1.308589,-0.2985465,0.4003094,-0.05984721,-0.34510142,Immune,1
Cell_75,-0.16286214,-0.19278862,-1.479063,1.1535541,-0.4594613,0.64528203,0.95556617,1.2909187,-0.04833385,-0.22304153,Immune,1
Cell_76,0.5927509,0.8793271,-1.8149396,0.19998378,-0.44575787,0.2797948,-0.5560813,1.2143192,-1.3924483,-0.27494273,Immune,1
Cell_77,-1.3758284,0.53388613,-2.0283513,0.34092507,0.8072272,0.33720523,-0.19592954,-2.16499,0.51801217,-0.76768863,Immune,1
Cell_78,-1.8096073,1.3532425,-1.1484466,0.7630836,-1.0276155,1.7926352,-2.1161783,-0.021172244,-1.1046237,-0.6142888,Immune,1
Cell_79,1.341365,-0.13711418,-2.0685737,-0.18711473,1.0017532,0.7846054,0.9184362,0.79887927,-1.491607,-0.08357042,Immune,1
Cell_80,-0.90175116,-0.015057584,-2.073894,-0.27955836,0.6877182,-1.4240792,-0.4128819,0.591435,0.668515,-0.6604954,Immune,1
Cell_81,-1.4227821,0.7803572,-2.1806114,0.37033206,1.1105835,0.29648137,-0.9886929,-1.1407286,-1.1918184,-0.08965635,Immune,1
Cell_82,-1.6122394,-1.1302533,-1.8639107,0.2370308,0.9563881,-2.3870246,0.72589934,0.41991046,0.07691063,-0.42736962,Immune,1
Cell_83,-0.6322347,-0.54215163,-1.7803348,0.5923395,-0.67559296,-1.6088746,-0.60884947,0.22328505,0.39560777,-0.3071507,Immune,1
Cell_84,0.780781,0.35633016,-1.9546338,-0.6754315,-0.25802255,-1.171973,-0.4505672,1.4558101,-1.5799186,-0.7526986,Immune,1
Cell_85,-0.5135779,-1.598067,-1.495457,1.4605408,0.42014426,-0.23168728,-0.6993983,0.20804374,-0.18210888,-0.12003428,Immune,1
Cell_86,1.0041789,-0.15138033,-1.3936796,0.68070483,0.64725065,-0.7443311,-0.24558935,0.1562381,-1.0991493,-0.95732707,Immune,1
Cell_87,-1.7554127,-1.1036041,-1.5798513,1.6773971,-0.9018072,0.81393546,1.0978116,1.107233,-0.043926604,-0.14275056,Immune,1
Cell_88,0.46109864,-0.6701844,-1.9898415,-0.7880955,-0.43182158,0.3326674,0.07915456,0.59763706,-1.5183053,-0.6142296,Immune,1
Cell_89,-1.934196,0.3688061,-2.0860808,0.12268557,0.6874286,-0.077232346,0.2660415,-0.22515282,0.6995838,-0.45029756,Immune,1
Cell_90,-0.68414605,-0.29054752,-1.8633288,0.059622698,1.5408096,1.5528055,1.935113,-0.8650116,1.3193238,-0.17738038,Immune,1
Cell_91,-0.34942108,-0.15570468,-1.4447671,-0.36750364,0.14237097,-0.19209643,0.7209399,-1.5041801,-1.1770594,-0.56943667,Immune,1
Cell_92,0.16546452,-1.8464326,-1.6065099,0.3503436,0.37673897,1.2069947,-0.10342731,-1.1984211,1.315452,-0.22457516,Immune,1
Cell_93,-0.67455435,1.1049782,-1.5663836,0.43457863,0.04858426,-0.035841957,0.6184783,0.031498656,-0.2119366,-1.0438912,Immune,1
Cell_94,-0.21539141,1.8647214,-1.6427959,0.2207306,0.3610052,-0.41224208,0.68370235,-0.7649216,0.29138273,-0.46507916,Immune,1
Cell_95,-0.7377497,-1.6944894,-1.9259094,0.9167998,0.74542576,-1.1188159,0.15470208,-1.1083544,1.2571213,-0.6731067,Immune,1
Cell_96,-0.38397095,-1.4275194,-1.810355,-1.0938106,-0.68825924,0.30692148,-1.4799418,-0.6078946,-0.19132623,-0.6291311,Immune,1
Cell_97,0.15649307,-0.95750505,-1.7094232,-0.55773574,-0.020641148,-0.8456809,-0.035372704,-0.23726082,0.36222276,-0.94382495,Immune,1
Cell_98,-0.3550473,0.5843439,-1.585112,-1.3630899,-0.4238387,-1.3813957,0.45355058,-0.9981783,-0.9070815,-0.51986164,Immune,1
Cell_99,-1.0598983,-0.69636565,-0.97624373,0.17757726,-0.10569597,0.8932706,-0.84012103,-0.8553925,-0.5504003,-0.4355963,Immune,1
Cell_100,-1.2033089,1.2749035,-1.7422423,-0.13076489,1.9684772,0.6253987,0.40454245,-0.15845919,1.5552438,-0.1525422,Immune,1
Cell_101,0.9949205,0.34692153,-1.5269419,-0.5595613,0.9979441,0.100614995,-0.59674805,1.3350117,-0.43263286,-0.021300614,Immune,1
Cell_102,0.72481036,0.053691097,-1.5102854,-0.12832022,0.11653002,-0.8070762,-1.1905146,-0.29325333,0.5674157,-0.49329787,Immune,1
Cell_103,-0.3397234,-0.22980301,-1.8700567,-1.1735289,-0.32522523,-0.23946802,-0.5421771,-0.5753091,-0.74179673,-0.21076712,Immune,1
Cell_104,0.17169559,0.36122692,-1.7059542,0.44171363,-0.37191814,0.023997277,-0.22157815,0.7042757,0.22376755,0.09532654,Immune,1
Cell_105,-1.1436241,0.38100776,-2.2026942,-0.4527436,0.14905494,-0.09460892,-0.046226956,0.028277077,1.6758939,-1.163711,Immune,1
Cell_106,-0.5362555,1.2053456,-1.9850092,1.034339,0.935913,-0.8432825,-0.7648165,-0.8527165,1.211038,-0.8968257,Immune,1
Cell_107,-1.051414,0.03130166,-1.7940995,0.092377044,0.12201355,0.9174329,-0.32102627,0.7386563,1.2066561,-0.9252316,Immune,1
Cell_108,-1.47928,0.45749396,-1.620278,0.5696431,-0.19401938,-0.5854166,-0.9726757,1.7187693,-0.5349871,-0.07724291,Immune,1
Cell_109,0.5783717,0.96515596,-1.9361852,0.42372376,-1.5769479,0.45178893,1.1991861,-0.8970759,-0.23248824,-0.5851139,Immune,1
Cell_110,-0.98541677,-0.27880338,-1.3944381,0.023366645,-0.049212426,-0.40586472,0.12410917,0.9138489,1.1411859,-0.7401444,Immune,1
Cell_111,0.20564675,0.19141397,-1.1032684,-0.79889107,-0.029255904,0.5927257,0.5630755,-1.1309557,-0.84279376,-0.33258355,Immune,1
Cell_112,1.2538563,-1.6656926,-1.585083,-1.1757898,0.0064310953,-0.8459512,-0.72829807,-0.22068529,0.6863462,-0.69838643,Immune,1
Cell_113,-0.047684312,1.6666211,-1.9135469,-0.6663163,1.5115265,0.50096714,1.4524635,1.4065026,-0.76088625,-0.4441295,Immune,1
Cell_114,-0.778221,1.8171531,-1.5734668,-0.92322296,0.025779244,-0.062291466,-1.2351602,-1.4566283,-0.08269919,-1.4497662,Immune,1
Cell_115,-0.5341488,-0.10350769,-1.5921304,-1.4919915,0.9975997,-1.1140062,-1.5334994,0.55445784,-0.6130387,-0.63915586,Immune,1
Cell_116,-0.56273115,-0.1497083,-2.0290995,-1.0777075,-0.6644914,-0.15792952,-0.12813273,-1.7178526,-0.09587735,-0.20440546,Immune,1
Cell_117,-0.7525386,-0.9713669,-1.6579276,0.23232248,0.19324932,0.16425356,0.9234641,1.9533327,1.1574996,-0.13111705,Immune,1
Cell_118,0.13684407,0.14961454,-1.5258267,0.2001232,-1.5573632,-0.16838682,0.8539107,1.0125362,-1.0009773,-0.34057552,Immune,1
Cell_119,-0.46695668,-0.7268352,-1.634743,-0.98085356,-0.23242389,-0.56793106,-1.5936983,-0.6332147,-0.24662113,-0.91557187,Immune,1
Cell_120,-0.35477775,-0.15709518,-1.9250292,0.4298175,0.21729314,-0.21621704,1.1745516,0.64744383,0.5223261,-0.78295314,Immune,1
Cell_121,1.1114479,-0.18712533,-1.4568298,-0.69736147,-0.14704728,0.6879539,-0.09085098,1.1067367,-0.7755287,-1.0451373,Immune,1
Cell_122,-1.1314447,-1.0428388,-1.6936959,0.00930205,-0.28726035,0.8777037,0.11137149,1.0764726,0.44915056,-0.5544439,Immune,1
Cell_123,0.085657686,-0.031461652,-2.1556323,0.40246597,0.18388817,0.009207219,0.013186514,0.20630762,0.22822535,-0.66744506,Immune,1
Cell_124,-1.7621735,-0.18171741,-1.4726582,0.2390672,1.4653873,0.10972289,1.0867876,-0.5836705,-0.5197271,-0.5468358,Immune,1
Cell_125,-0.67045975,1.6158988,-1.5597389,0.2042065,-0.6288261,-0.13623767,0.9293557,-0.8681322,-0.9535208,-0.40535992,Immune,1
Cell_126,-0.1295043,-1.3654188,-1.3910447,-0.89819396,-0.53627783,0.55230147,-0.6934762,0.96728355,-1.0948211,-0.50313556,Immune,1
Cell_127,-1.0113397,0.10367858,-1.166147,0.40270454,0.5747885,-1.2571752,-1.3456632,-0.36704874,-1.7380918,-0.94772035,Immune,1
Cell_128,-0.035615817,-0.542859,-2.0443966,0.07219586,-0.13925563,0.24294162,-1.6311958,-1.4339106,-0.33805615,-0.8519298,Immune,1
Cell_129,-0.6512127,-0.15355709,-1.7934293,1.1147518,1.563285,0.3910665,2.2229173,-0.7775432,-0.64970917,-0.1686188,Immune,1
Cell_130,0.062028825,-0.56812584,-1.6147789,-0.75232065,-0.8147912,-1.4350998,0.8251047,-1.3106401,-1.7668262,0.031666994,Immune,1
Cell_131,0.85665506,0.6684032,-2.0823674,0.045866057,-0.2774304,0.113786176,0.56485134,0.8615864,-0.5823028,-0.6442719,Immune,1
Cell_132,-0.6854962,0.9917826,-1.7038519,-0.6770928,-0.503824,0.6121308,-0.6519621,0.5944873,0.495744,-0.26611507,Immune,1
Cell_133,1.109683,-0.8297422,-1.6427975,-0.3468386,-0.053707607,-1.0708623,-0.059738588,0.098691545,-0.9535447,-0.7854924,Immune,1
Cell_134,-0.18154849,0.5704494,-1.5461069,-0.12569901,-0.7517197,-0.092867605,-0.13878179,-0.5281872,-0.48502785,-0.99639976,Immune,1
Cell_135,0.8444706,1.3012093,-1.6928154,-0.37256736,-0.54015917,0.7592334,-0.5336356,0.067733556,-0.20819128,-0.4874006,Immune,1
Cell_136,-1.3108383,-0.9498691,-2.1022549,-0.04735194,2.5464911,-0.26222235,-0.28270805,-0.17093486,-0.453372,-0.09647024,Immune,1
Cell_137,-0.036105335,1.6659685,-1.9140648,0.34808445,-1.3840225,-0.6258089,-1.4679358,0.5343167,-0.8979944,-0.840443,Immune,1
Cell_138,-0.69130796,2.0050921,-1.808443,0.6424835,-2.4952219,-1.4304473,-0.1787987,-0.55311364,0.0021742433,-0.42297792,Immune,1
Cell_139,-0.06588368,-1.055837,-1.101255,0.18392238,-0.73780483,-2.7025805,0.44650316,-0.39588302,1.1366175,-0.73099333,Immune,1
Cell_140,-1.3031795,1.0283432,-1.7648919,0.36213633,-0.4512565,-0.0009223446,0.3502086,0.08942868,0.98227465,-0.7590028,Immune,1
Cell_141,-0.62890553,1.5559728,-1.5011504,1.1097178,3.5403504,-0.78065425,-0.5414353,0.7239456,-1.4716635,-0.6188604,Immune,1
Cell_142,-0.14456475,0.4271032,-1.8080854,1.030092,0.20814732,-0.15869054,-0.123013504,1.9669057,-1.0127343,-0.8009132,Immune,1
Cell_143,-1.3116745,-0.013782414,-1.6830952,0.30153358,0.80016,0.39518416,0.38909867,-1.8220088,-1.0313416,-0.6794338,Immune,1
Cell_144,0.063726455,0.22858994,-1.3370907,-0.013728246,0.7322927,0.8211259,0.4651875,0.5227584,0.0051007792,0.020059347,Immune,1
Cell_145,-0.7964305,0.20600997,-1.6928843,-0.45034438,-0.60170364,1.4230032,-1.107135,0.129225,0.80384237,-0.6200401,Immune,1
Cell_146,-0.1028187,-0.39533573,-1.4343834,0.61551696,1.1574347,0.086496785,0.48459938,0.65016854,-0.92326623,0.08723098,Immune,1
Cell_147,0.53287005,0.51878804,-1.7953032,1.1156675,-0.0030130744,0.12874117,-1.0057881,-0.6747722,-0.37416553,-1.6121207,Immune,1
Cell_148,-0.48253775,-0.6079545,-1.6599572,-0.6804478,0.12765865,-0.30258355,0.33469313,0.7964913,-0.34004182,-0.41209647,Immune,1
Cell_149,-0.23031665,1.1913481,-1.5160594,0.712227,1.3207529,-0.3452945,-0.04090289,0.68738127,-0.762637,-1.0022625,Immune,1
Cell_150,-0.6739733,-1.0272472,1.5938208,1.176289,0.07616755,-0.57133937,-0.13208033,0.64149576,-0.7022537,-0.7803104,Cancer,0
Cell_151,0.3174908,-1.7987198,1.6236049,-0.7525186,1.3853807,0.62376785,-0.85093015,-0.6366836,0.50242466,-0.7965141,Cancer,0
Cell_152,-1.34803,0.44882715,1.5410135,0.8771124,1.3347923,0.9082809,-0.8891021,1.1368864,-1.0553045,-1.0276821,Cancer,0
Cell_153,-0.5024856,0.027229533,1.5694958,-0.98067665,1.6848955,1.3248298,-0.3371446,-0.7814448,-0.038647547,-1.0838883,Cancer,0
Cell_154,0.72236145,1.3676757,1.3913426,-0.15467378,0.18338645,0.14339235,2.345992,0.65223306,-0.6195135,-1.2871273,Cancer,0
Cell_155,-1.1113365,0.5050621,1.025025,0.35904533,-1.0985712,0.3867196,0.13586801,0.66871774,0.51266,-1.2392417,Cancer,0
Cell_156,0.016140282,1.2980355,1.2419707,-1.3729008,-0.0737243,-0.14243864,-0.41973245,0.40510932,-0.57275677,-1.1259753,Cancer,0
Cell_157,-0.458084,-0.78047335,1.5243996,-0.44178444,-0.73817503,0.06899023,0.8283171,0.3842225,0.185282,-1.0877079,Cancer,0
Cell_158,-0.9118737,-1.1790557,1.4589009,-1.816331,1.7224158,0.32381475,-0.28097945,0.9552157,-0.5728313,-0.6974474,Cancer,0
Cell_159,0.03640279,0.15688269,1.3758909,0.89197844,0.9064309,0.73363113,-1.0515071,1.3656609,0.3595373,-0.9205706,Cancer,0
Cell_160,-0.41771334,0.9305695,1.4797978,1.4393146,1.7165495,-0.5207781,0.41121465,1.4898101,0.08858652,-1.0410317,Cancer,0
Cell_161,-0.2821218,-0.32827142,1.5746284,-0.625119,-0.60675716,0.6108378,-0.3152114,1.2462121,-1.5584244,-1.1966511,Cancer,0
Cell_162,0.2430098,-0.17869692,1.3604066,-0.17460078,-0.07530096,0.2153064,0.12212134,-0.7220915,0.90732336,-1.0232862,Cancer,0
Cell_163,0.675317,0.007901907,1.71221,1.5223341,-1.7034335,0.19501507,-0.384571,0.1338779,0.9015527,-1.1828871,Cancer,0
Cell_164,-1.1972378,0.8985641,1.712332,1.0635905,-0.7985408,-0.8742794,-0.42756137,0.89143664,-1.639979,-0.92826086,Cancer,0
Cell_165,0.12099922,-0.07860029,1.9088615,1.0181876,0.4510207,0.15044321,-1.9155124,0.7378665,-0.7832244,-1.1824664,Cancer,0
Cell_166,-0.51489556,1.2148244,1.4432634,-0.9920344,0.72491896,-0.66233945,-1.1377434,-0.4446426,0.3856735,-1.0363789,Cancer,0
Cell_167,0.80138654,1.9023011,1.7272452,1.7987916,-0.45531386,-1.4367778,0.31056905,-0.3417394,1.1875944,-1.2368277,Cancer,0
Cell_168,-0.4745897,-0.7572144,1.5687867,0.009316258,0.6316221,2.2219815,-0.75332564,0.7219089,0.6741121,-1.3283974,Cancer,0
Cell_169,0.3725456,-0.17683008,1.2898543,0.8352499,-0.12141213,0.64465237,1.1503196,0.12818171,-1.2132713,-0.8879437,Cancer,0
Cell_170,0.057901293,0.10059442,1.7174578,0.3954798,-0.6089281,-1.9371307,-0.250806,-0.56639534,-0.08920324,-1.406898,Cancer,0
Cell_171,-0.4196366,0.79317796,1.3181837,1.5537493,-0.5339915,-0.10940691,0.17715132,0.42178562,1.0024158,-1.1498994,Cancer,0
Cell_172,-0.20545554,-1.0940356,1.6289774,0.89625466,1.8260031,-0.1089883,1.1820177,0.44186774,0.5268329,-1.1885364,Cancer,0
Cell_173,-0.339314,0.050911553,1.6751653,-1.1688491,0.32135272,1.9279685,-0.8815458,-0.9120452,1.2322634,-1.1465849,Cancer,0
Cell_174,0.67897815,0.8470173,1.4905665,0.7282723,1.3486712,-0.324821,-0.47697946,1.2248784,-0.554067,-1.3200974,Cancer,0
Cell_175,-0.71496165,-0.20561184,1.7754334,1.7381709,0.98432434,0.11774946,-0.70020837,-0.12751567,0.56087124,-1.1558408,Cancer,0
Cell_176,-0.2880384,1.8756653,1.3636764,-0.35856432,-0.78963083,-0.73208255,-0.69651824,-1.5197996,1.9991889,-1.2922057,Cancer,0
Cell_177,0.40645817,0.7743661,1.547672,-1.4652607,0.96388483,0.727571,1.1516021,-0.16309513,0.6171776,-1.2722888,Cancer,0
